epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1366,1.60771,3.48496,1.65636,0.02175,0.49058,0.06531,0.03089,1.4002,3.23304,1.57527,0.0838,0.0018,0.0018
2,64.1511,1.29117,1.81324,1.52335,0.87004,0.29308,0.38565,0.25839,1.17763,2.28345,1.3955,0.0665169,0.00351685,0.00351685
3,96.6341,1.23009,1.37354,1.45809,0.82211,0.54878,0.54036,0.29822,1.48919,2.53028,1.74153,0.0490456,0.0050456,0.0050456
4,129.076,1.25897,1.25519,1.48978,0.97308,0.21238,0.78335,0.49945,1.49399,2.1249,1.68471,0.0313862,0.00638625,0.00638625
5,162.388,1.2324,1.12237,1.46874,0.87415,0.68788,0.89369,0.55975,1.36323,1.66232,1.58905,0.0135388,0.0075388,0.0075388
6,194.801,1.20975,1.06571,1.42863,0.85828,0.71883,0.84116,0.48013,1.66218,1.52249,1.89226,0.007525,0.007525,0.007525
7,227.004,1.19741,1.06929,1.43498,0.84899,0.84245,0.90792,0.55868,1.49613,1.20528,1.72836,0.00703,0.00703,0.00703
8,259.068,1.14306,1.0189,1.38496,0.84979,0.90118,0.92385,0.59054,1.29931,1.02013,1.52438,0.006535,0.006535,0.006535
9,291.039,1.14516,1.02483,1.38839,0.8293,0.90734,0.91446,0.58886,1.45363,1.06005,1.72477,0.00604,0.00604,0.00604
10,323.009,1.09506,0.96423,1.33476,0.84742,0.77138,0.85902,0.51361,1.83267,1.79502,1.95908,0.005545,0.005545,0.005545
11,355.135,1.05435,0.92718,1.33546,0.82725,0.93382,0.92896,0.59945,1.24827,0.99868,1.45974,0.00505,0.00505,0.00505
12,387.108,1.05804,0.89912,1.33954,0.84963,0.91238,0.92562,0.60072,1.19374,0.96807,1.39953,0.004555,0.004555,0.004555
13,419.058,1.03343,0.88375,1.31421,0.84838,0.86981,0.92017,0.59025,1.33141,1.01657,1.56069,0.00406,0.00406,0.00406
14,451.007,1.02149,0.87186,1.30256,0.82324,0.91177,0.92735,0.62462,1.08497,0.93409,1.31813,0.003565,0.003565,0.003565
15,482.875,1.01637,0.8511,1.30912,0.87759,0.88934,0.9339,0.62004,1.10663,0.89245,1.33506,0.00307,0.00307,0.00307
16,514.859,0.99677,0.83396,1.29566,0.86799,0.91196,0.92903,0.60893,1.10347,0.85537,1.32223,0.002575,0.002575,0.002575
17,546.817,0.99145,0.8286,1.2793,0.86645,0.91297,0.93621,0.6291,1.07476,0.85975,1.29818,0.00208,0.00208,0.00208
18,578.897,0.9784,0.80816,1.2755,0.84536,0.9247,0.93056,0.61499,1.10992,0.85557,1.32518,0.001585,0.001585,0.001585
19,610.809,0.97942,0.81075,1.27134,0.86919,0.90305,0.93497,0.63534,1.08213,0.81222,1.30968,0.00109,0.00109,0.00109
20,642.887,0.9908,0.85043,1.27909,0.85313,0.9276,0.93865,0.63276,1.1209,0.81446,1.33829,0.000595,0.000595,0.000595
